uniqueid,drugname,condition,review,rating,date,usefulcount,cleaned_review,sentiment_class,sentiment_rate,scaled_rating,scaled_sentiment,avg_rating,avg_sentiment,final_rate,positive_count,prescription_count,acceptance_rate,drug_name and review
1680,Simply Sleep,Insomnia,Very ineffective Caused me to have a racing heart not sleep and to feel depressed and anxious the next day Dont recommend,1,6/25/2015,12,Very ineffective Caused racing heart sleep feel depressed anxious next day Dont recommend,negative,-0.016666667,1,5,1,5,3,0,1,0,Simply Sleep-Very ineffective Caused me to have a racing heart not sleep and to feel depressed and anxious the next day Dont recommend
1691,Letairis,Pulmonary Hypertension,My pressures were  at diagnosis and now  short years later my pressure is  This medication is easy to take and it very effective,10,1/17/2015,11,My pressure diagnosis short year later pressure This medication easy take effective,positive,0.303333333,5,6,10,6,8,1,1,1,Letairis-My pressures were  at diagnosis and now  short years later my pressure is  This medication is easy to take and it very effective
1726,Salonpas Pain Patch,Osteoarthritis,I have been using these pain patches for several years and they were always very effective  However since the new patches came out I have not been happy with them  They are still very effective in relieving pain but they will not stick as in the past  They very easily fall off  This was never a problem with the other patches,8,9/25/2017,0,I using pain patch several year always effective However since new patch came I happy They still effective relieving pain stick past They easily fall This never problem patch,positive,0.335587121,4,7,8,7,7.5,1,1,1,Salonpas Pain Patch-I have been using these pain patches for several years and they were always very effective  However since the new patches came out I have not been happy with them  They are still very effective in relieving pain but they will not stick as in the past  They very easily fall off  This was never a problem with the other patches
1815,Zolmitriptan,Migraine,Fantastic I use to suffer with nasty migranes that would leave me in bed in too much pain to even cry I use zomig rapimelt mg It takes between  mins to work at any stage of the attack and clears all symptoms,9,3/21/2008,1,Fantastic I use suffer nasty migranes would leave bed much pain even cry I use zomig rapimelt mg It take min work stage attack clear symptom,negative,-0.133333333,5,4,9,4,6.5,0,1,0,Zolmitriptan-Fantastic I use to suffer with nasty migranes that would leave me in bed in too much pain to even cry I use zomig rapimelt mg It takes between  mins to work at any stage of the attack and clears all symptoms
1826,Colchicine,"Gout, Acute",This is my second gout attack I have taken Colcrys with First was my right wrist and second my right toes I have gotten along well with mg taken once a day  Only side effect I have noticed was more solid stools I noticed pain relief within the first day I did take a pain pill as well with my toe flare up but swelling did start to go down after first day on Colcrys It works for me,9,2/2/2014,28,This second gout attack I taken Colcrys First right wrist second right toe I gotten along well mg taken day Only side effect I noticed solid stool I noticed pain relief within first day I take pain pill well toe flare swelling start go first day Colcrys It work,negative,0.151443001,5,6,9,6,7.5,0,1,0,Colchicine-This is my second gout attack I have taken Colcrys with First was my right wrist and second my right toes I have gotten along well with mg taken once a day  Only side effect I have noticed was more solid stools I noticed pain relief within the first day I did take a pain pill as well with my toe flare up but swelling did start to go down after first day on Colcrys It works for me
1879,Mestranol / norethindrone,Birth Control,This medication i was on for  months no side effects other than it nearly killed me I got blood clots in both my lungs multiple that is was hospitalized had to be on watfarin for  months and do lovenox shots til my levels were at  twice It sucked I had shortness of breath and rapid breathinghigh bp Dont mess with these symptomsi had no pain with minei am very luckyage  when this happened I have been off warfarin no birth control ever again After all the testing it confirmed it was necon  that gave me clots Get medical help right away,1,8/5/2016,1,This medication month side effect nearly killed I got blood clot lung multiple hospitalized watfarin month lovenox shot til level twice It sucked I shortness breath rapid breathinghigh bp Dont mess symptomsi pain minei luckyage happened I warfarin birth control ever After testing confirmed necon gave clot Get medical help right away,negative,0.048214286,1,5,1,5,3,0,1,0,Mestranol / norethindrone-This medication i was on for  months no side effects other than it nearly killed me I got blood clots in both my lungs multiple that is was hospitalized had to be on watfarin for  months and do lovenox shots til my levels were at  twice It sucked I had shortness of breath and rapid breathinghigh bp Dont mess with these symptomsi had no pain with minei am very luckyage  when this happened I have been off warfarin no birth control ever again After all the testing it confirmed it was necon  that gave me clots Get medical help right away
1904,Mupirocin,Skin and Structure Infection,This medication is a miracle drug  My yr old daughter had a rash that nothing could cure then  days after using this cream I saw an amazing difference  She has extremely dry skin in the winter which she scratches to the point of bleeding sometimes but not anymore At the first sign of dryirritated skin I apply this cream and it works like magic Also used it on a rash I developed on my legs and the same thing The itching stops almost immediately This cream is a staple in our medicine cabinet,10,3/25/2010,56,This medication miracle drug My yr old daughter rash nothing could cure day using cream I saw amazing difference She extremely dry skin winter scratch point bleeding sometimes anymore At first sign dryirritated skin I apply cream work like magic Also used rash I developed leg thing The itching stop almost immediately This cream staple medicine cabinet,positive,0.211904762,5,6,10,6,8,1,1,1,Mupirocin-This medication is a miracle drug  My yr old daughter had a rash that nothing could cure then  days after using this cream I saw an amazing difference  She has extremely dry skin in the winter which she scratches to the point of bleeding sometimes but not anymore At the first sign of dryirritated skin I apply this cream and it works like magic Also used it on a rash I developed on my legs and the same thing The itching stops almost immediately This cream is a staple in our medicine cabinet
1949,Polyethylene glycol 3350,Constipation,I had been backed up for at least half a year when things went from bad to worse The last two months I was lucky to go once a week My stool was so hard and big that it hurt to much to go My doctor prescribed Miralax to me and it started to work a little Then she recommended I take two cap fulls in two cups of water instead of one in one After a day or two I went to go and it literally went from  bad to  great I was not only able to go but it didnt hurt at all It was so amazing to finally not be in pain that I literally cried I would absolutely recommend this product to anyone with that kind of constipation,10,12/18/2012,194,I backed least half year thing went bad worse The last two month I lucky go week My stool hard big hurt much go My doctor prescribed Miralax started work little Then recommended I take two cap full two cup water instead one one After day two I went go literally went bad great I able go didnt hurt It amazing finally pain I literally cried I would absolutely recommend product anyone kind constipation,positive,0.027083333,5,5,10,5,7.5,1,1,1,Polyethylene glycol 3350-I had been backed up for at least half a year when things went from bad to worse The last two months I was lucky to go once a week My stool was so hard and big that it hurt to much to go My doctor prescribed Miralax to me and it started to work a little Then she recommended I take two cap fulls in two cups of water instead of one in one After a day or two I went to go and it literally went from  bad to  great I was not only able to go but it didnt hurt at all It was so amazing to finally not be in pain that I literally cried I would absolutely recommend this product to anyone with that kind of constipation
2001,Eslicarbazepine,Seizures,In about five days I started feeling like a cloud lifted and clear thinking rolled in Im very happy with the Aptiom mg is my dose So glad I have it Wish the ACA insurance paid more as Im paying   day supply Otherwise its very effective,9,4/28/2016,14,In five day I started feeling like cloud lifted clear thinking rolled Im happy Aptiom mg dose So glad I Wish ACA insurance paid Im paying day supply Otherwise effective,positive,0.576,5,8,9,8,8.5,1,1,1,Eslicarbazepine-In about five days I started feeling like a cloud lifted and clear thinking rolled in Im very happy with the Aptiom mg is my dose So glad I have it Wish the ACA insurance paid more as Im paying   day supply Otherwise its very effective
2007,Metformin,"Diabetes, Type 2",Many subtle side effects that clear over time  Chance of infection side effect is curious as that is a condition to be religiously avoided with diabetes of any type  Also since starting Metformin I have red skin on right leg that seems to never go away  More than a coincidence I think that this appeared right after starting this medication  I am finding controlling my diet and exercise a much better solution than current drugs but will take for a while longer,2,6/4/2017,7,Many subtle side effect clear time Chance infection side effect curious condition religiously avoided diabetes type Also since starting Metformin I red skin right leg seems never go away More coincidence I think appeared right starting medication I finding controlling diet exercise much better solution current drug take longer,positive,0.133699634,1,6,2,6,4,1,1,1,Metformin-Many subtle side effects that clear over time  Chance of infection side effect is curious as that is a condition to be religiously avoided with diabetes of any type  Also since starting Metformin I have red skin on right leg that seems to never go away  More than a coincidence I think that this appeared right after starting this medication  I am finding controlling my diet and exercise a much better solution than current drugs but will take for a while longer
2358,Clobex,Psoriasis,I got this psoriasis when I was in my early s and I thought it was nothing because it started in my head Itching and redness followed but still I ignored it not until it got bigger then I went to my doctor to get checked up First he doesnt know what kind of condition I have He gave me a lot of things that made no effects on my skin Bottom line was he didnt made me feel better until I discovered Clobex I used the shampoo and spray in the same time but you need to be aware that over time any medications will not work You need to take a break otherwise you will be immune to it or even worse My skin cleared but after few months it came back so be careful using any medications,5,9/27/2010,25,I got psoriasis I early I thought nothing started head Itching redness followed still I ignored got bigger I went doctor get checked First doesnt know kind condition I He gave lot thing made effect skin Bottom line didnt made feel better I discovered Clobex I used shampoo spray time need aware time medication work You need take break otherwise immune even worse My skin cleared month came back careful using medication,negative,0.090909091,3,5,5,5,5,0,1,0,Clobex-I got this psoriasis when I was in my early s and I thought it was nothing because it started in my head Itching and redness followed but still I ignored it not until it got bigger then I went to my doctor to get checked up First he doesnt know what kind of condition I have He gave me a lot of things that made no effects on my skin Bottom line was he didnt made me feel better until I discovered Clobex I used the shampoo and spray in the same time but you need to be aware that over time any medications will not work You need to take a break otherwise you will be immune to it or even worse My skin cleared but after few months it came back so be careful using any medications
2385,Dalmane,Insomnia,"Im a  year old male I suffer from idiopathic primary insomnia Before Dalmane I was a wreck I could maybe seek out  or  hours of restless sleep per night Awful

My doctor had had me on everything from Klonopin to Valium and ALL the tricyclic antidepressants We even tried some older drugs like Miltown and Seconal Ive tried   prescription sleep aids over the years  Lunesta worked quite well but only at mg four times the recommended dose Needless to say that would break the bank 

Then we tried Dalmane I have been taking mg to mg an hour before bedtime for the last  years combined recently with mg of Remeron I sleep  hours every night without fail  Any hangover is minor and actually gives me a welcome sense of calm Its CHEAP too",10,4/18/2010,101,Im year old male I suffer idiopathic primary insomnia Before Dalmane I wreck I could maybe seek hour restless sleep per night Awful My doctor everything Klonopin Valium ALL tricyclic antidepressant We even tried older drug like Miltown Seconal Ive tried prescription sleep aid year Lunesta worked quite well mg four time recommended dose Needless say would break bank Then tried Dalmane I taking mg mg hour bedtime last year combined recently mg Remeron I sleep hour every night without fail Any hangover minor actually give welcome sense calm Its CHEAP,positive,0.007777778,5,5,10,5,7.5,1,1,1,"Dalmane-Im a  year old male I suffer from idiopathic primary insomnia Before Dalmane I was a wreck I could maybe seek out  or  hours of restless sleep per night Awful

My doctor had had me on everything from Klonopin to Valium and ALL the tricyclic antidepressants We even tried some older drugs like Miltown and Seconal Ive tried   prescription sleep aids over the years  Lunesta worked quite well but only at mg four times the recommended dose Needless to say that would break the bank 

Then we tried Dalmane I have been taking mg to mg an hour before bedtime for the last  years combined recently with mg of Remeron I sleep  hours every night without fail  Any hangover is minor and actually gives me a welcome sense of calm Its CHEAP too"
2389,Chloromycetin,Bacterial Infection,"I was given choromycetin when I was  years old 
It was considered an experimental drug at the time 
I ended up with red petechiae distinctive red rash all over 
Saw a hemotologist when I was  
Had a bone marrow test done 
Declared thrombocytopenia and idiopathic thrombocytopenia drug induced 
It has been devastating for me 
Many healing drugs given to me has had large consequences on my life 
It has been a life long process of convincing untrained doctors of my condition 
Most doctors werent born when this drug came on the market 
Therefore they are ignorant of any complications
I am  years old 
I now have been declared with a new title Lifethreatening Autoimmune hemolytic anemia 
They have given me prednisone and Ritoxan 
Not helping much",1,5/5/2017,2,I given choromycetin I year old It considered experimental drug time I ended red petechia distinctive red rash Saw hemotologist I Had bone marrow test done Declared thrombocytopenia idiopathic thrombocytopenia drug induced It devastating Many healing drug given large consequence life It life long process convincing untrained doctor condition Most doctor werent born drug came market Therefore ignorant complication I year old I declared new title Lifethreatening Autoimmune hemolytic anemia They given prednisone Ritoxan Not helping much,negative,0.10004995,1,5,1,5,3,0,1,0,"Chloromycetin-I was given choromycetin when I was  years old 
It was considered an experimental drug at the time 
I ended up with red petechiae distinctive red rash all over 
Saw a hemotologist when I was  
Had a bone marrow test done 
Declared thrombocytopenia and idiopathic thrombocytopenia drug induced 
It has been devastating for me 
Many healing drugs given to me has had large consequences on my life 
It has been a life long process of convincing untrained doctors of my condition 
Most doctors werent born when this drug came on the market 
Therefore they are ignorant of any complications
I am  years old 
I now have been declared with a new title Lifethreatening Autoimmune hemolytic anemia 
They have given me prednisone and Ritoxan 
Not helping much"
